"Location","Currency","Price","Property.Type","Size_Type","Size_Value","Size_Unit","Furnishing"
"Mont Kiara, Kuala Lumpur","RM",1900000,"Condominium (Corner)","Built-up  ",1830,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2700000,"Serviced Residence","Built-up  ",1195,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",6300000,"Serviced Residence (Corner)","Built-up  ",2195,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1900000,"Condominium","Built-up  ",915,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",3e+06,"Condominium","Built-up  ",3218,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",1e+06,"Condominium (EndLot)","Built-up  ",751,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2e+06,"Serviced Residence (Corner)","Built-up  ",1350,"sq. ft.","Fully Furnished"
"KLCC, Kuala Lumpur","RM",6380000,"Serviced Residence (Corner)","Built-up  ",2195,"sq. ft.","Partly Furnished"
"Batu Caves, Kuala Lumpur","RM",676775,"Serviced Residence (Intermediate)","Built-up  ",1265,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1830000,"Condominium (Corner)","Built-up  ",1830,"sq. ft.","Partly Furnished"
"City Centre, Kuala Lumpur","RM",1750000,"Serviced Residence","Built-up  ",1442,"sq. ft.","Partly Furnished"
"Desa ParkCity, Kuala Lumpur","RM",1780000,"2-sty Terrace/Link House (Intermediate)","Built-up  ",2400,"sq. ft.","Fully Furnished"
"Bukit Jalil, Kuala Lumpur","RM",1200000,"Condominium (Corner)","Built-up  ",1930,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",2300000,"Serviced Residence","Built-up  ",1046,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1600000,"Condominium","Built-up  ",1878,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1291000,"Condominium","Built-up  ",2069,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",880000,"Serviced Residence","Built-up  ",710,"sq. ft.","Fully Furnished"
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM",655000,"Serviced Residence (Corner)","Built-up  ",1094,"sq. ft.","Partly Furnished"
"Mont Kiara, Kuala Lumpur","RM",1400000,"Condominium","Built-up  ",1496,"sq. ft.","Partly Furnished"
"KLCC, Kuala Lumpur","RM",7975250,"Serviced Residence (Penthouse)","Built-up  ",2975,"sq. ft.","Fully Furnished"
